<<<<<<< HEAD
﻿cyear,cntyr,ccode,scode,country,year,un_region,un_continent,reg_id,demo_nr,demo_r,regime_r,regime_nr,duration_nr,duration_r,personal,personal2,lindex,exname,change,tdate,trans,occup,interreg
21961,United States 1961,2,USA,United States,1961,Northern America,Americas,201,1,1,Democracy,Democracy,153,152,NA,NA,NA,John Kennedy,0,,0,0,0
21962,United States 1962,2,USA,United States,1962,Northern America,Americas,201,1,1,Democracy,Democracy,154,153,NA,NA,NA,John Kennedy,0,,0,0,0
21963,United States 1963,2,USA,United States,1963,Northern America,Americas,201,1,1,Democracy,Democracy,155,154,NA,NA,NA,Lyndon Johnson,0,,0,0,0
21964,United States 1964,2,USA,United States,1964,Northern America,Americas,201,1,1,Democracy,Democracy,156,155,NA,NA,NA,Lyndon Johnson,0,,0,0,0
21965,United States 1965,2,USA,United States,1965,Northern America,Americas,201,1,1,Democracy,Democracy,157,156,NA,NA,NA,Lyndon Johnson,0,,0,0,0
21966,United States 1966,2,USA,United States,1966,Northern America,Americas,201,1,1,Democracy,Democracy,158,157,NA,NA,NA,Lyndon Johnson,0,,0,0,0
21967,United States 1967,2,USA,United States,1967,Northern America,Americas,201,1,1,Democracy,Democracy,159,158,NA,NA,NA,Lyndon Johnson,0,,0,0,0
21968,United States 1968,2,USA,United States,1968,Northern America,Americas,201,1,1,Democracy,Democracy,160,159,NA,NA,NA,Lyndon Johnson,0,,0,0,0
21969,United States 1969,2,USA,United States,1969,Northern America,Americas,201,1,1,Democracy,Democracy,161,160,NA,NA,NA,Richard Nixon,0,,0,0,0
21970,United States 1970,2,USA,United States,1970,Northern America,Americas,201,1,1,Democracy,Democracy,162,161,NA,NA,NA,Richard Nixon,0,,0,0,0
21971,United States 1971,2,USA,United States,1971,Northern America,Americas,201,1,1,Democracy,Democracy,163,162,NA,NA,NA,Richard Nixon,0,,0,0,0
21972,United States 1972,2,USA,United States,1972,Northern America,Americas,201,1,1,Democracy,Democracy,164,163,NA,NA,NA,Richard Nixon,0,,0,0,0
21973,United States 1973,2,USA,United States,1973,Northern America,Americas,201,1,1,Democracy,Democracy,165,164,NA,NA,NA,Richard Nixon,0,,0,0,0
21974,United States 1974,2,USA,United States,1974,Northern America,Americas,201,1,1,Democracy,Democracy,166,165,NA,NA,NA,Gerald Ford,0,,0,0,0
21975,United States 1975,2,USA,United States,1975,Northern America,Americas,201,1,1,Democracy,Democracy,167,166,NA,NA,NA,Gerald Ford,0,,0,0,0
21976,United States 1976,2,USA,United States,1976,Northern America,Americas,201,1,1,Democracy,Democracy,168,167,NA,NA,NA,Gerald Ford,0,,0,0,0
21977,United States 1977,2,USA,United States,1977,Northern America,Americas,201,1,1,Democracy,Democracy,169,168,NA,NA,NA,Jimmy Carter,0,,0,0,0
21978,United States 1978,2,USA,United States,1978,Northern America,Americas,201,1,1,Democracy,Democracy,170,169,NA,NA,NA,Jimmy Carter,0,,0,0,0
21979,United States 1979,2,USA,United States,1979,Northern America,Americas,201,1,1,Democracy,Democracy,171,170,NA,NA,NA,Jimmy Carter,0,,0,0,0
21980,United States 1980,2,USA,United States,1980,Northern America,Americas,201,1,1,Democracy,Democracy,172,171,NA,NA,NA,Jimmy Carter,0,,0,0,0
21981,United States 1981,2,USA,United States,1981,Northern America,Americas,201,1,1,Democracy,Democracy,173,172,NA,NA,NA,Ronald Reagan,0,,0,0,0
21982,United States 1982,2,USA,United States,1982,Northern America,Americas,201,1,1,Democracy,Democracy,174,173,NA,NA,NA,Ronald Reagan,0,,0,0,0
21983,United States 1983,2,USA,United States,1983,Northern America,Americas,201,1,1,Democracy,Democracy,175,174,NA,NA,NA,Ronald Reagan,0,,0,0,0
21984,United States 1984,2,USA,United States,1984,Northern America,Americas,201,1,1,Democracy,Democracy,176,175,NA,NA,NA,Ronald Reagan,0,,0,0,0
21985,United States 1985,2,USA,United States,1985,Northern America,Americas,201,1,1,Democracy,Democracy,177,176,NA,NA,NA,Ronald Reagan,0,,0,0,0
21986,United States 1986,2,USA,United States,1986,Northern America,Americas,201,1,1,Democracy,Democracy,178,177,NA,NA,NA,Ronald Reagan,0,,0,0,0
21987,United States 1987,2,USA,United States,1987,Northern America,Americas,201,1,1,Democracy,Democracy,179,178,NA,NA,NA,Ronald Reagan,0,,0,0,0
21988,United States 1988,2,USA,United States,1988,Northern America,Americas,201,1,1,Democracy,Democracy,180,179,NA,NA,NA,Ronald Reagan,0,,0,0,0
21989,United States 1989,2,USA,United States,1989,Northern America,Americas,201,1,1,Democracy,Democracy,181,180,NA,NA,NA,George Bush,0,,0,0,0
21990,United States 1990,2,USA,United States,1990,Northern America,Americas,201,1,1,Democracy,Democracy,182,181,NA,NA,NA,George Bush,0,,0,0,0
21991,United States 1991,2,USA,United States,1991,Northern America,Americas,201,1,1,Democracy,Democracy,183,182,NA,NA,NA,George Bush,0,,0,0,0
21992,United States 1992,2,USA,United States,1992,Northern America,Americas,201,1,1,Democracy,Democracy,184,183,NA,NA,NA,George Bush,0,,0,0,0
21993,United States 1993,2,USA,United States,1993,Northern America,Americas,201,1,1,Democracy,Democracy,185,184,NA,NA,NA,Bill Clinton,0,,0,0,0
21994,United States 1994,2,USA,United States,1994,Northern America,Americas,201,1,1,Democracy,Democracy,186,185,NA,NA,NA,Bill Clinton,0,,0,0,0
21995,United States 1995,2,USA,United States,1995,Northern America,Americas,201,1,1,Democracy,Democracy,187,186,NA,NA,NA,Bill Clinton,0,,0,0,0
21996,United States 1996,2,USA,United States,1996,Northern America,Americas,201,1,1,Democracy,Democracy,188,187,NA,NA,NA,Bill Clinton,0,,0,0,0
21997,United States 1997,2,USA,United States,1997,Northern America,Americas,201,1,1,Democracy,Democracy,189,188,NA,NA,NA,Bill Clinton,0,,0,0,0
21998,United States 1998,2,USA,United States,1998,Northern America,Americas,201,1,1,Democracy,Democracy,190,189,NA,NA,NA,Bill Clinton,0,,0,0,0
21999,United States 1999,2,USA,United States,1999,Northern America,Americas,201,1,1,Democracy,Democracy,191,190,NA,NA,NA,Bill Clinton,0,,0,0,0
22000,United States 2000,2,USA,United States,2000,Northern America,Americas,201,1,1,Democracy,Democracy,192,191,NA,NA,NA,Bill Clinton,0,,0,0,0
22001,United States 2001,2,USA,United States,2001,Northern America,Americas,201,1,1,Democracy,Democracy,193,192,NA,NA,NA,George W. Bush,0,,0,0,0
22002,United States 2002,2,USA,United States,2002,Northern America,Americas,201,1,1,Democracy,Democracy,194,193,NA,NA,NA,George W. Bush,0,,0,0,0
22003,United States 2003,2,USA,United States,2003,Northern America,Americas,201,1,1,Democracy,Democracy,195,194,NA,NA,NA,George W. Bush,0,,0,0,0
22004,United States 2004,2,USA,United States,2004,Northern America,Americas,201,1,1,Democracy,Democracy,196,195,NA,NA,NA,George W. Bush,0,,0,0,0
22005,United States 2005,2,USA,United States,2005,Northern America,Americas,201,1,1,Democracy,Democracy,197,196,NA,NA,NA,George W. Bush,0,,0,0,0
22006,United States 2006,2,USA,United States,2006,Northern America,Americas,201,1,1,Democracy,Democracy,198,197,NA,NA,NA,George W. Bush,0,,0,0,0
22007,United States 2007,2,USA,United States,2007,Northern America,Americas,201,1,1,Democracy,Democracy,199,198,NA,NA,NA,George W. Bush,0,,0,0,0
22008,United States 2008,2,USA,United States,2008,Northern America,Americas,201,1,1,Democracy,Democracy,200,199,NA,NA,NA,George W. Bush,0,,0,0,0
22009,United States 2009,2,USA,United States,2009,Northern America,Americas,201,1,1,Democracy,Democracy,201,200,NA,NA,NA,Barack Obama,0,,0,0,0
22010,United States 2010,2,USA,United States,2010,Northern America,Americas,201,1,1,Democracy,Democracy,202,201,NA,NA,NA,Barack Obama,0,,0,0,0
22011,United States 2011,2,USA,United States,2011,Northern America,Americas,201,1,1,Democracy,Democracy,203,202,NA,NA,NA,Barack Obama,0,,0,0,0
22012,United States 2012,2,USA,United States,2012,Northern America,Americas,201,1,1,Democracy,Democracy,204,203,NA,NA,NA,Barack Obama,0,,0,0,0
201950,Canada 1950,20,CAN,Canada,1950,Northern America,Americas,2001,1,1,Democracy,Democracy,20,19,NA,NA,NA,Louis Saint Laurent,0,12.11.1931,0,0,0
201951,Canada 1951,20,CAN,Canada,1951,Northern America,Americas,2001,1,1,Democracy,Democracy,21,20,NA,NA,NA,Louis Saint Laurent,0,,0,0,0
201952,Canada 1952,20,CAN,Canada,1952,Northern America,Americas,2001,1,1,Democracy,Democracy,22,21,NA,NA,NA,Louis Saint Laurent,0,,0,0,0
201953,Canada 1953,20,CAN,Canada,1953,Northern America,Americas,2001,1,1,Democracy,Democracy,23,22,NA,NA,NA,Louis Saint Laurent,0,,0,0,0
201954,Canada 1954,20,CAN,Canada,1954,Northern America,Americas,2001,1,1,Democracy,Democracy,24,23,NA,NA,NA,Louis Saint Laurent,0,,0,0,0
201955,Canada 1955,20,CAN,Canada,1955,Northern America,Americas,2001,1,1,Democracy,Democracy,25,24,NA,NA,NA,Louis Saint Laurent,0,,0,0,0
201956,Canada 1956,20,CAN,Canada,1956,Northern America,Americas,2001,1,1,Democracy,Democracy,26,25,NA,NA,NA,Louis Saint Laurent,0,,0,0,0
201957,Canada 1957,20,CAN,Canada,1957,Northern America,Americas,2001,1,1,Democracy,Democracy,27,26,NA,NA,NA,John Diefenbaker,0,,0,0,0
201958,Canada 1958,20,CAN,Canada,1958,Northern America,Americas,2001,1,1,Democracy,Democracy,28,27,NA,NA,NA,John Diefenbaker,0,,0,0,0
201959,Canada 1959,20,CAN,Canada,1959,Northern America,Americas,2001,1,1,Democracy,Democracy,29,28,NA,NA,NA,John Diefenbaker,0,,0,0,0
201960,Canada 1960,20,CAN,Canada,1960,Northern America,Americas,2001,1,1,Democracy,Democracy,30,29,NA,NA,NA,John Diefenbaker,0,,0,0,0
201961,Canada 1961,20,CAN,Canada,1961,Northern America,Americas,2001,1,1,Democracy,Democracy,31,30,NA,NA,NA,John Diefenbaker,0,,0,0,0
201962,Canada 1962,20,CAN,Canada,1962,Northern America,Americas,2001,1,1,Democracy,Democracy,32,31,NA,NA,NA,John Diefenbaker,0,,0,0,0
201963,Canada 1963,20,CAN,Canada,1963,Northern America,Americas,2001,1,1,Democracy,Democracy,33,32,NA,NA,NA,Lester Pearson,0,,0,0,0
201964,Canada 1964,20,CAN,Canada,1964,Northern America,Americas,2001,1,1,Democracy,Democracy,34,33,NA,NA,NA,Lester Pearson,0,,0,0,0
201965,Canada 1965,20,CAN,Canada,1965,Northern America,Americas,2001,1,1,Democracy,Democracy,35,34,NA,NA,NA,Lester Pearson,0,,0,0,0
201966,Canada 1966,20,CAN,Canada,1966,Northern America,Americas,2001,1,1,Democracy,Democracy,36,35,NA,NA,NA,Lester Pearson,0,,0,0,0
201967,Canada 1967,20,CAN,Canada,1967,Northern America,Americas,2001,1,1,Democracy,Democracy,37,36,NA,NA,NA,Lester Pearson,0,,0,0,0
201968,Canada 1968,20,CAN,Canada,1968,Northern America,Americas,2001,1,1,Democracy,Democracy,38,37,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201969,Canada 1969,20,CAN,Canada,1969,Northern America,Americas,2001,1,1,Democracy,Democracy,39,38,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201970,Canada 1970,20,CAN,Canada,1970,Northern America,Americas,2001,1,1,Democracy,Democracy,40,39,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201971,Canada 1971,20,CAN,Canada,1971,Northern America,Americas,2001,1,1,Democracy,Democracy,41,40,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201972,Canada 1972,20,CAN,Canada,1972,Northern America,Americas,2001,1,1,Democracy,Democracy,42,41,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201973,Canada 1973,20,CAN,Canada,1973,Northern America,Americas,2001,1,1,Democracy,Democracy,43,42,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201974,Canada 1974,20,CAN,Canada,1974,Northern America,Americas,2001,1,1,Democracy,Democracy,44,43,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201975,Canada 1975,20,CAN,Canada,1975,Northern America,Americas,2001,1,1,Democracy,Democracy,45,44,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201976,Canada 1976,20,CAN,Canada,1976,Northern America,Americas,2001,1,1,Democracy,Democracy,46,45,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201977,Canada 1977,20,CAN,Canada,1977,Northern America,Americas,2001,1,1,Democracy,Democracy,47,46,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201978,Canada 1978,20,CAN,Canada,1978,Northern America,Americas,2001,1,1,Democracy,Democracy,48,47,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201979,Canada 1979,20,CAN,Canada,1979,Northern America,Americas,2001,1,1,Democracy,Democracy,49,48,NA,NA,NA,Joe Clark,0,,0,0,0
201980,Canada 1980,20,CAN,Canada,1980,Northern America,Americas,2001,1,1,Democracy,Democracy,50,49,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201981,Canada 1981,20,CAN,Canada,1981,Northern America,Americas,2001,1,1,Democracy,Democracy,51,50,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201982,Canada 1982,20,CAN,Canada,1982,Northern America,Americas,2001,1,1,Democracy,Democracy,52,51,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201983,Canada 1983,20,CAN,Canada,1983,Northern America,Americas,2001,1,1,Democracy,Democracy,53,52,NA,NA,NA,Pierre Elliott Trudeau,0,,0,0,0
201984,Canada 1984,20,CAN,Canada,1984,Northern America,Americas,2001,1,1,Democracy,Democracy,54,53,NA,NA,NA,Brian Mulroney,0,,0,0,0
201985,Canada 1985,20,CAN,Canada,1985,Northern America,Americas,2001,1,1,Democracy,Democracy,55,54,NA,NA,NA,Brian Mulroney,0,,0,0,0
201986,Canada 1986,20,CAN,Canada,1986,Northern America,Americas,2001,1,1,Democracy,Democracy,56,55,NA,NA,NA,Brian Mulroney,0,,0,0,0
201987,Canada 1987,20,CAN,Canada,1987,Northern America,Americas,2001,1,1,Democracy,Democracy,57,56,NA,NA,NA,Brian Mulroney,0,,0,0,0
201988,Canada 1988,20,CAN,Canada,1988,Northern America,Americas,2001,1,1,Democracy,Democracy,58,57,NA,NA,NA,Brian Mulroney,0,,0,0,0
201989,Canada 1989,20,CAN,Canada,1989,Northern America,Americas,2001,1,1,Democracy,Democracy,59,58,NA,NA,NA,Brian Mulroney,0,,0,0,0
201990,Canada 1990,20,CAN,Canada,1990,Northern America,Americas,2001,1,1,Democracy,Democracy,60,59,NA,NA,NA,Brian Mulroney,0,,0,0,0
201991,Canada 1991,20,CAN,Canada,1991,Northern America,Americas,2001,1,1,Democracy,Democracy,61,60,NA,NA,NA,Brian Mulroney,0,,0,0,0
201992,Canada 1992,20,CAN,Canada,1992,Northern America,Americas,2001,1,1,Democracy,Democracy,62,61,NA,NA,NA,Brian Mulroney,0,,0,0,0
201993,Canada 1993,20,CAN,Canada,1993,Northern America,Americas,2001,1,1,Democracy,Democracy,63,62,NA,NA,NA,Jean Chretien,0,,0,0,0
201994,Canada 1994,20,CAN,Canada,1994,Northern America,Americas,2001,1,1,Democracy,Democracy,64,63,NA,NA,NA,Jean Chretien,0,,0,0,0
201995,Canada 1995,20,CAN,Canada,1995,Northern America,Americas,2001,1,1,Democracy,Democracy,65,64,NA,NA,NA,Jean Chretien,0,,0,0,0
201996,Canada 1996,20,CAN,Canada,1996,Northern America,Americas,2001,1,1,Democracy,Democracy,66,65,NA,NA,NA,Jean Chretien,0,,0,0,0
201997,Canada 1997,20,CAN,Canada,1997,Northern America,Americas,2001,1,1,Democracy,Democracy,67,66,NA,NA,NA,Jean Chretien,0,,0,0,0
201998,Canada 1998,20,CAN,Canada,1998,Northern America,Americas,2001,1,1,Democracy,Democracy,68,67,NA,NA,NA,Jean Chretien,0,,0,0,0
201999,Canada 1999,20,CAN,Canada,1999,Northern America,Americas,2001,1,1,Democracy,Democracy,69,68,NA,NA,NA,Jean Chretien,0,,0,0,0
202000,Canada 2000,20,CAN,Canada,2000,Northern America,Americas,2001,1,1,Democracy,Democracy,70,69,NA,NA,NA,Jean Chretien,0,,0,0,0
202001,Canada 2001,20,CAN,Canada,2001,Northern America,Americas,2001,1,1,Democracy,Democracy,71,70,NA,NA,NA,Jean Chretien,0,,0,0,0
202002,Canada 2002,20,CAN,Canada,2002,Northern America,Americas,2001,1,1,Democracy,Democracy,72,71,NA,NA,NA,Jean Chretien,0,,0,0,0
202003,Canada 2003,20,CAN,Canada,2003,Northern America,Americas,2001,1,1,Democracy,Democracy,73,72,NA,NA,NA,"Paul Joseph Martin, Jr.",0,,0,0,0
202004,Canada 2004,20,CAN,Canada,2004,Northern America,Americas,2001,1,1,Democracy,Democracy,74,73,NA,NA,NA,"Paul Joseph Martin, Jr.",0,,0,0,0
202005,Canada 2005,20,CAN,Canada,2005,Northern America,Americas,2001,1,1,Democracy,Democracy,75,74,NA,NA,NA,"Paul Joseph Martin, Jr.",0,,0,0,0
202006,Canada 2006,20,CAN,Canada,2006,Northern America,Americas,2001,1,1,Democracy,Democracy,76,75,NA,NA,NA,Stephen Joseph Harper,0,,0,0,0
202007,Canada 2007,20,CAN,Canada,2007,Northern America,Americas,2001,1,1,Democracy,Democracy,77,76,NA,NA,NA,Stephen Joseph Harper,0,,0,0,0
202008,Canada 2008,20,CAN,Canada,2008,Northern America,Americas,2001,1,1,Democracy,Democracy,78,77,NA,NA,NA,Stephen Joseph Harper,0,,0,0,0
202009,Canada 2009,20,CAN,Canada,2009,Northern America,Americas,2001,1,1,Democracy,Democracy,79,78,NA,NA,NA,Stephen Joseph Harper,0,,0,0,0
202010,Canada 2010,20,CAN,Canada,2010,Northern America,Americas,2001,1,1,Democracy,Democracy,80,79,NA,NA,NA,Stephen Joseph Harper,0,,0,0,0
202011,Canada 2011,20,CAN,Canada,2011,Northern America,Americas,2001,1,1,Democracy,Democracy,81,80,NA,NA,NA,Stephen Joseph Harper,0,,0,0,0
202012,Canada 2012,20,CAN,Canada,2012,Northern America,Americas,2001,1,1,Democracy,Democracy,82,81,NA,NA,NA,Stephen Joseph Harper,0,,0,0,0
401950,Cuba 1950,40,CUB,Cuba,1950,Caribbean,Americas,4001,1,1,Democracy,Democracy,49,49,NA,NA,NA,Fulgencio Batista y Zaldivar,0,05.12.1902,0,0,0
401951,Cuba 1951,40,CUB,Cuba,1951,Caribbean,Americas,4001,1,1,Democracy,Democracy,50,50,NA,NA,NA,Fulgencio Batista y Zaldivar,0,,0,0,0
401952,Cuba 1952,40,CUB,Cuba,1952,Caribbean,Americas,4002,0,0,Military,Military,1,1,NA,2,1,Fulgencio Batista y Zaldivar,1,03.00.1952,1,0,0
401953,Cuba 1953,40,CUB,Cuba,1953,Caribbean,Americas,4002,0,0,Military,Military,2,2,NA,2,1,Fulgencio Batista y Zaldivar,0,,1,0,0
401954,Cuba 1954,40,CUB,Cuba,1954,Caribbean,Americas,4003,0,0,Military,Multiparty,1,3,NA,2,1,Fulgencio Batista y Zaldivar,0,11.01.1954,1,0,0
401955,Cuba 1955,40,CUB,Cuba,1955,Caribbean,Americas,4003,0,0,Multiparty,Multiparty,2,1,2,2,1,Fulgencio Batista y Zaldivar,0,,0,0,0
401956,Cuba 1956,40,CUB,Cuba,1956,Caribbean,Americas,4003,0,0,Multiparty,Multiparty,3,2,2,2,1,Fulgencio Batista y Zaldivar,0,,0,0,0
401957,Cuba 1957,40,CUB,Cuba,1957,Caribbean,Americas,4003,0,0,Multiparty,Multiparty,4,3,2,2,1,Fulgencio Batista y Zaldivar,0,,0,0,0
401958,Cuba 1958,40,CUB,Cuba,1958,Caribbean,Americas,4003,0,0,Multiparty,Multiparty,5,4,2,2,1,Fulgencio Batista y Zaldivar,0,,0,0,0
401959,Cuba 1959,40,CUB,Cuba,1959,Caribbean,Americas,4004,0,0,Single Party,Single Party,1,1,NA,2,1,Fidel Castro Ruz,1,01.01.1959,0,0,1
401960,Cuba 1960,40,CUB,Cuba,1960,Caribbean,Americas,4004,0,0,Single Party,Single Party,2,2,NA,2,1,Fidel Castro Ruz,0,,1,0,0
401961,Cuba 1961,40,CUB,Cuba,1961,Caribbean,Americas,4004,0,0,Single Party,Single Party,3,3,2,2,1,Fidel Castro Ruz,0,,0,0,0
401962,Cuba 1962,40,CUB,Cuba,1962,Caribbean,Americas,4004,0,0,Single Party,Single Party,4,4,2,2,1,Fidel Castro Ruz,0,,0,0,0
401963,Cuba 1963,40,CUB,Cuba,1963,Caribbean,Americas,4004,0,0,Single Party,Single Party,5,5,2,2,1,Fidel Castro Ruz,0,,0,0,0
401964,Cuba 1964,40,CUB,Cuba,1964,Caribbean,Americas,4004,0,0,Single Party,Single Party,6,6,2,2,1,Fidel Castro Ruz,0,,0,0,0
401965,Cuba 1965,40,CUB,Cuba,1965,Caribbean,Americas,4004,0,0,Single Party,Single Party,7,7,2,2,1,Fidel Castro Ruz,0,,0,0,0
401966,Cuba 1966,40,CUB,Cuba,1966,Caribbean,Americas,4004,0,0,Single Party,Single Party,8,8,2,2,1,Fidel Castro Ruz,0,,0,0,0
401967,Cuba 1967,40,CUB,Cuba,1967,Caribbean,Americas,4004,0,0,Single Party,Single Party,9,9,2,2,1,Fidel Castro Ruz,0,,0,0,0
401968,Cuba 1968,40,CUB,Cuba,1968,Caribbean,Americas,4004,0,0,Single Party,Single Party,10,10,2,2,1,Fidel Castro Ruz,0,,0,0,0
401969,Cuba 1969,40,CUB,Cuba,1969,Caribbean,Americas,4004,0,0,Single Party,Single Party,11,11,2,2,1,Fidel Castro Ruz,0,,0,0,0
401970,Cuba 1970,40,CUB,Cuba,1970,Caribbean,Americas,4004,0,0,Single Party,Single Party,12,12,2,2,1,Fidel Castro Ruz,0,,0,0,0
401971,Cuba 1971,40,CUB,Cuba,1971,Caribbean,Americas,4004,0,0,Single Party,Single Party,13,13,2,2,1,Fidel Castro Ruz,0,,0,0,0
401972,Cuba 1972,40,CUB,Cuba,1972,Caribbean,Americas,4004,0,0,Single Party,Single Party,14,14,2,2,1,Fidel Castro Ruz,0,,0,0,0
401973,Cuba 1973,40,CUB,Cuba,1973,Caribbean,Americas,4004,0,0,Single Party,Single Party,15,15,2,2,1,Fidel Castro Ruz,0,,0,0,0
401974,Cuba 1974,40,CUB,Cuba,1974,Caribbean,Americas,4004,0,0,Single Party,Single Party,16,16,2,2,1,Fidel Castro Ruz,0,,0,0,0
401975,Cuba 1975,40,CUB,Cuba,1975,Caribbean,Americas,4004,0,0,Single Party,Single Party,17,17,2,2,1,Fidel Castro Ruz,0,,0,0,0
401976,Cuba 1976,40,CUB,Cuba,1976,Caribbean,Americas,4004,0,0,Single Party,Single Party,18,18,2,2,1,Fidel Castro Ruz,0,,0,0,0
401977,Cuba 1977,40,CUB,Cuba,1977,Caribbean,Americas,4004,0,0,Single Party,Single Party,19,19,2,2,1,Fidel Castro Ruz,0,,0,0,0
401978,Cuba 1978,40,CUB,Cuba,1978,Caribbean,Americas,4004,0,0,Single Party,Single Party,20,20,2,2,1,Fidel Castro Ruz,0,,0,0,0
401979,Cuba 1979,40,CUB,Cuba,1979,Caribbean,Americas,4004,0,0,Single Party,Single Party,21,21,2,2,1,Fidel Castro Ruz,0,,0,0,0
401980,Cuba 1980,40,CUB,Cuba,1980,Caribbean,Americas,4004,0,0,Single Party,Single Party,22,22,2,2,1,Fidel Castro Ruz,0,,0,0,0
401981,Cuba 1981,40,CUB,Cuba,1981,Caribbean,Americas,4004,0,0,Single Party,Single Party,23,23,2,2,1,Fidel Castro Ruz,0,,0,0,0
401982,Cuba 1982,40,CUB,Cuba,1982,Caribbean,Americas,4004,0,0,Single Party,Single Party,24,24,2,2,1,Fidel Castro Ruz,0,,0,0,0
401983,Cuba 1983,40,CUB,Cuba,1983,Caribbean,Americas,4004,0,0,Single Party,Single Party,25,25,2,2,1,Fidel Castro Ruz,0,,0,0,0
401984,Cuba 1984,40,CUB,Cuba,1984,Caribbean,Americas,4004,0,0,Single Party,Single Party,26,26,2,2,1,Fidel Castro Ruz,0,,0,0,0
401985,Cuba 1985,40,CUB,Cuba,1985,Caribbean,Americas,4004,0,0,Single Party,Single Party,27,27,2,2,1,Fidel Castro Ruz,0,,0,0,0
401986,Cuba 1986,40,CUB,Cuba,1986,Caribbean,Americas,4004,0,0,Single Party,Single Party,28,28,2,2,1,Fidel Castro Ruz,0,,0,0,0
401987,Cuba 1987,40,CUB,Cuba,1987,Caribbean,Americas,4004,0,0,Single Party,Single Party,29,29,2,2,1,Fidel Castro Ruz,0,,0,0,0
401988,Cuba 1988,40,CUB,Cuba,1988,Caribbean,Americas,4004,0,0,Single Party,Single Party,30,30,2,2,1,Fidel Castro Ruz,0,,0,0,0
401989,Cuba 1989,40,CUB,Cuba,1989,Caribbean,Americas,4004,0,0,Single Party,Single Party,31,31,2,2,1,Fidel Castro Ruz,0,,0,0,0
401990,Cuba 1990,40,CUB,Cuba,1990,Caribbean,Americas,4004,0,0,Single Party,Single Party,32,32,2,2,1,Fidel Castro Ruz,0,,0,0,0
401991,Cuba 1991,40,CUB,Cuba,1991,Caribbean,Americas,4004,0,0,Single Party,Single Party,33,33,2,2,1,Fidel Castro Ruz,0,,0,0,0
401992,Cuba 1992,40,CUB,Cuba,1992,Caribbean,Americas,4004,0,0,Single Party,Single Party,34,34,2,2,1,Fidel Castro Ruz,0,,0,0,0
401993,Cuba 1993,40,CUB,Cuba,1993,Caribbean,Americas,4004,0,0,Single Party,Single Party,35,35,2,2,1,Fidel Castro Ruz,0,,0,0,0
401994,Cuba 1994,40,CUB,Cuba,1994,Caribbean,Americas,4004,0,0,Single Party,Single Party,36,36,2,2,1,Fidel Castro Ruz,0,,0,0,0
