country,homRate,homRateYear,assault,assaultYear,sexViolence,sexViolenceYear,kidnap,kidnapYear,robbery,robberyYear
France,1.2,2018,375.63,2016,64.1,2017,5.904,2016,154.343,
Bhutan,1.19,2018,145.5,2018,10.3,2017,0,2018,2.28,
Bosnia and Herzegovina,1.17,2018,27.35,2018,4.7,2017,0.3,2018,19.692,
Guinea-Bissau,1.15,2017,112.21,2016,,,0.729,2016,20.309,
Slovakia,1.14,2018,29.29,2018,12.9,2017,1.687,2018,8.711,
Uzbekistan,1.14,2017,4.37,2017,,,0.072,2017,2.6,
Benin,1.13,2017,47.74,2017,,,4.743,2017,1.629,
Sweden,1.08,2018,47.22,2018,190.6,2017,,,86.706,
Denmark,1.01,2018,32.28,2018,83.6,2017,,,31.623,
Tonga,0.97,2012,,,,,,,,
Austria,0.97,2018,41.74,2018,48.2,2017,0.056,2018,26.947,
Germany,0.95,2018,164.48,2018,42.1,2017,5.489,2018,44.218,
Greece,0.94,2018,15.08,2018,4.3,2017,0.703,2018,41.417,
Iceland,0.89,2018,36.23,2018,142.3,2017,,,14.653,
Australia,0.89,2018,292.02,2018,101.5,2017,1.771,2018,40.646,
Syria,0.88,2018,0.8,2018,0.4,2008,0.116,2008,,
Ireland,0.87,2018,93.51,2018,60.9,2017,1.599,2017,45.137,
Taiwan,0.82,2015,,,,,,,,
Portugal,0.79,2018,5.65,2018,24.7,2017,2.662,2018,102.816,
New Zealand,0.74,2017,533.96,2018,126,2017,9.508,2018,66.686,
Poland,0.73,2018,17.43,2018,8.5,2017,0.647,2015,17.934,
Maldives,0.72,2013,71.31,2017,85.6,2017,6.849,2017,17.526,
Hong Kong,0.65,2018,65.05,2018,25.1,2013,0.014,2013,1.994,
Czech Republic,0.62,2017,46.57,2018,13.3,2017,0.122,2018,13.182,
Spain,0.62,2018,39.18,2018,20.3,2017,0.173,2018,129.131,
South Korea,0.6,2018,103.31,2018,47.2,2017,0.088,2018,1.604,
Switzerland,0.59,2018,6.86,2018,30.7,2017,0.094,2018,19.283,
Netherlands,0.59,2018,26.82,2018,28.3,2017,2.462,2018,46.162,
Croatia,0.58,2018,17.64,2018,11.4,2017,0.24,2016,18.742,
Italy,0.57,2018,109.44,2018,8.4,2017,0.305,2018,47.81,
China,0.53,2018,,,,,,,,
Bahrain,0.52,2014,327.82,2008,15.7,2008,2.191,2006,,
Palestine,0.49,2018,15.24,2018,3.1,2013,0.283,2012,86.165,
Slovenia,0.48,2018,74.31,2018,20.6,2017,0.289,2018,12.706,
Norway,0.47,2018,36.87,2018,106.4,2017,,,14.746,
United Arab Emirates,0.46,2017,2.17,2018,4.8,2016,0.8,2018,3.219,
Indonesia,0.43,2017,4.18,2018,2.1,2017,0.083,2018,3.147,
French Polynesia,0.38,2009,,,,,,,,
Qatar,0.37,2014,39.56,2004,,,0.796,2004,,
Luxembourg,0.34,2017,101.12,2018,61.2,2017,5.968,2018,76.7,
Macau,0.32,2018,1.11,2018,17.3,2017,0.173,2013,10.924,
Oman,0.27,2018,1.01,2018,2.8,2017,0.228,2018,0.707,
Senegal,0.27,2015,2.41,2010,0.9,2016,0.014,2015,17.169,
Japan,0.26,2018,19.07,2016,5.6,2016,0.178,2016,1.825,
Singapore,0.16,2018,7.57,2018,30.6,2017,0,2011,1.268,
Vatican City,0,2015,,,0,2015,0,2015,0,
San Marino,0,2011,,,,,,,,
Monaco,0,2015,522.23,2015,13.1,2016,2.627,2016,31.811,
Andorra,0,2015,170.53,2015,14.1,2015,1.262,2014,10.257,
Isle of Man,0,2016,,,,,,,,
Guinea,,,3.08,2007,0.3,2007,0.257,2008,,
Ivory Coast,,,51.64,2008,3.7,2008,,,,
Madagascar,,,9.03,2015,4.6,2015,0.045,2015,7.184,
